StockCode,Description,total_revenue,total_quantity_sold,total_transactions,Revenue_per_Transaction,first_sale_date,last_sale_date,product_lifetime_days,Lifetime_Tier,days_since_last_sale,Activity_Status,is_churned,Churn_Status,segment,Revenue_Tier
,money box kings choice design,2727.15,2125,134,20.351865671641793,2010-03-26 13:46:00,2010-12-05 16:24:00,254,Medium,4,Active,0,Active,Healthy,High
,heart wooden christmas decoration,2727.02,3049,214,12.743084112149532,2010-07-18 11:31:00,2010-12-09 15:23:00,144,Medium,0,Active,0,Active,Healthy,High
47503J,set/3 floral garden tools in bag,2719.38,344,75,36.2584,2009-12-01 16:19:00,2010-12-07 15:59:00,370,Medium,2,Active,0,Active,At Risk,High
85232D,set/3 decoupage stacking tins,2714.52,518,160,16.96575,2009-12-01 11:41:00,2010-12-09 14:49:00,373,Medium,0,Active,0,Active,Healthy,High
,potting shed twine,2702.8199999999997,1415,185,14.609837837837837,2009-12-01 10:36:00,2010-12-08 12:46:00,372,Medium,1,Active,0,Active,Healthy,High
,pink diamante pen in gift box,2700.43,1201,170,15.884882352941176,2009-12-02 14:43:00,2010-12-09 14:09:00,371,Medium,0,Active,0,Active,Healthy,High
,vintage billboard love/hate mug,2695.08,2758,197,13.680609137055837,2009-12-01 12:13:00,2010-12-08 13:03:00,372,Medium,1,Active,0,Active,Healthy,High
,recipe box retro spot design,2694.65,959,178,15.138483146067417,2010-07-09 17:17:00,2010-10-27 13:29:00,109,Medium,43,At Risk,0,Active,At Risk,High
,christmas gingham tree,2691.65,3002,233,11.552145922746782,2010-07-18 11:31:00,2010-12-09 14:09:00,144,Medium,0,Active,0,Active,Healthy,High
84968E,s/16 vintage black cutlery,2687.41,229,44,61.07749999999999,2009-12-02 12:06:00,2010-08-04 12:03:00,244,Medium,127,Inactive,1,Churned,Churned,High
,love heart napkin box,2673.56,610,165,16.20339393939394,2010-09-16 13:06:00,2010-12-09 14:55:00,84,Short,0,Active,0,Active,Healthy,High
,mouse toy with pink t-shirt,2666.02,693,290,9.193172413793103,2009-12-01 13:07:00,2010-12-09 14:19:00,373,Medium,0,Active,0,Active,Healthy,High
,woodland  height chart stickers,2663.69,949,147,18.120340136054423,2009-12-01 14:28:00,2010-12-08 14:25:00,371,Medium,1,Active,0,Active,Healthy,High
,red/cream stripe fringe hammock,2662.64,337,119,22.375126050420167,2009-12-03 14:39:00,2010-08-03 11:32:00,242,Medium,128,Inactive,1,Churned,Churned,High
,love heart sock hanger,2661.39,1617,187,14.232032085561496,2009-12-01 14:55:00,2010-12-07 18:36:00,371,Medium,2,Active,0,Active,Healthy,High
,pack of 6 skull paper cups,2652.46,4321,216,12.279907407407407,2009-12-01 09:08:00,2010-12-05 12:13:00,369,Medium,4,Active,0,Active,Healthy,High
,"swiss roll towel, pink  spots",2646.3700000000003,875,113,23.419203539823013,2009-12-01 17:08:00,2010-12-08 14:25:00,371,Medium,1,Active,0,Active,Healthy,High
,"key fob , garage design",2640.11,4104,358,7.374608938547486,2009-12-01 14:28:00,2010-12-09 14:09:00,372,Medium,0,Active,0,Active,Healthy,High
,union jack flag passport cover,2639.89,1132,237,11.138776371308015,2009-12-01 11:21:00,2010-12-08 12:46:00,372,Medium,1,Active,0,Active,Healthy,High
72807A,set/3 rose candle in jewelled box,2635.27,579,124,21.25217741935484,2009-12-01 14:28:00,2010-12-09 14:09:00,372,Medium,0,Active,0,Active,Healthy,High
,pottering mug,2634.73,1929,310,8.499129032258065,2009-12-01 11:21:00,2010-12-09 16:31:00,373,Medium,0,Active,0,Active,Healthy,High
,easter craft ivy wreath with chick,2631.18,1412,106,24.822452830188677,2009-12-04 16:12:00,2010-11-24 14:49:00,354,Medium,15,Active,0,Active,At Risk,High
,set of 72 retrospot paper  doilies,2630.77,1764,174,15.119367816091954,2010-09-23 16:23:00,2010-12-09 20:01:00,77,Short,0,Active,0,Active,Healthy,High
84796B,blue savannah picnic hamper for 2,2623.32,346,58,45.22965517241379,2009-12-01 14:50:00,2010-11-29 10:37:00,362,Medium,10,Active,0,Active,At Risk,High
,cardholder gingham star,2622.5,1006,170,15.426470588235293,2010-07-16 15:26:00,2010-12-08 16:34:00,145,Medium,1,Active,0,Active,Healthy,High
,black diner wall clock,2620.41,311,119,22.020252100840334,2009-12-01 09:06:00,2010-12-09 18:09:00,373,Medium,0,Active,0,Active,Healthy,High
,6 ribbons elegant christmas,2616.2999999999997,1582,176,14.865340909090907,2009-12-01 11:45:00,2010-12-09 16:53:00,373,Medium,0,Active,0,Active,Healthy,High
,hanging medina lantern small,2615.55,942,150,17.437,2009-12-03 16:12:00,2010-12-07 18:36:00,369,Medium,2,Active,0,Active,Healthy,High
,tea time mug in gift box,2599.79,868,171,15.20345029239766,2009-12-01 14:19:00,2010-07-30 16:50:00,241,Medium,132,Inactive,1,Churned,Churned,High
85049B,lush greens ribbons,2598.32,2080,328,7.921707317073171,2009-12-01 12:33:00,2010-12-05 12:35:00,369,Medium,4,Active,0,Active,Healthy,High
,12 pencils small tube red retrospot,2594.43,3816,209,12.41354066985646,2010-09-26 11:49:00,2010-12-09 14:56:00,74,Short,0,Active,0,Active,Healthy,High
,small red retrospot windmill,2593.75,2042,189,13.723544973544973,2010-03-31 12:52:00,2010-12-08 14:25:00,252,Medium,1,Active,0,Active,Healthy,High
,sweetheart cream steel table rect,2593.5,130,69,37.58695652173913,2009-12-13 10:48:00,2010-11-25 19:32:00,347,Medium,14,Active,0,Active,At Risk,High
72802A,rose scent candle in jewelled box,2591.68,620,127,20.406929133858267,2009-12-02 09:47:00,2010-12-08 12:17:00,371,Medium,1,Active,0,Active,Healthy,High
,box of 9 pebble candles,2591.5699999999997,1302,212,12.22438679245283,2009-12-01 14:28:00,2010-12-09 16:31:00,373,Medium,0,Active,0,Active,Healthy,High
51014A,"feather pen,hot pink",2585.14,2868,143,18.077902097902097,2009-12-01 14:28:00,2010-12-09 14:09:00,372,Medium,0,Active,0,Active,Healthy,High
,swallow giant tube matches,2583.45,1119,88,29.357386363636362,2009-12-01 17:19:00,2010-06-17 10:30:00,197,Medium,175,Inactive,1,Churned,Churned,High
,white hanging beads candle holder,2582.4500000000003,485,99,26.085353535353537,2009-12-02 14:21:00,2010-12-08 14:59:00,371,Medium,1,Active,0,Active,At Risk,High
,wooden star christmas scandinavian,2581.4,2878,271,9.525461254612546,2010-07-18 11:31:00,2010-12-09 14:44:00,144,Medium,0,Active,0,Active,Healthy,High
,jam making set printed,2580.46,1673,115,22.438782608695654,2010-07-23 12:29:00,2010-12-09 19:32:00,139,Medium,0,Active,0,Active,Healthy,High
,hanging fairy cake decoration,2577.7200000000003,1348,119,21.66151260504202,2009-12-01 13:31:00,2010-12-09 14:09:00,373,Medium,0,Active,0,Active,Healthy,High
,empire union jack tv dinner tray,2577.11,477,158,16.310822784810128,2010-03-07 12:35:00,2010-12-08 14:25:00,276,Medium,1,Active,0,Active,Healthy,High
,"fancy font birthday card,",2576.13,6272,360,7.155916666666667,2009-12-01 14:28:00,2010-12-09 13:34:00,372,Medium,0,Active,0,Active,Healthy,High
,pens assorted funny face,2575.04,3149,74,34.79783783783784,2010-02-25 09:16:00,2010-12-07 15:28:00,285,Medium,2,Active,0,Active,At Risk,High
,joy large wood letters,2574.14,404,86,29.931860465116277,2009-12-01 09:08:00,2010-12-03 17:28:00,367,Medium,6,Active,0,Active,At Risk,High
,grow a flytrap or sunflower in tin,2571.63,1655,46,55.905,2010-08-05 15:01:00,2010-12-06 17:26:00,123,Medium,3,Active,0,Active,At Risk,High
,elephant carnival pouffe,2570.95,137,72,35.70763888888889,2009-12-04 14:13:00,2010-12-09 14:09:00,369,Medium,0,Active,0,Active,At Risk,High
,bombs away metal sign,2569.66,1210,215,11.951906976744185,2009-12-01 17:31:00,2010-11-01 09:14:00,334,Medium,38,At Risk,0,Active,At Risk,High
,office mug warmer polkadot,2566.21,667,152,16.882960526315788,2009-12-01 14:28:00,2010-12-09 14:09:00,372,Medium,0,Active,0,Active,Healthy,High
,glass etched t-light holder large,2565.67,1246,111,23.114144144144145,2010-01-13 17:51:00,2010-11-22 09:22:00,312,Medium,17,Active,0,Active,Healthy,High
,easter craft 4 chicks,2562.84,1304,113,22.68,2009-12-02 11:24:00,2010-11-17 12:03:00,350,Medium,22,Active,0,Active,Healthy,High
,watering can green dinosaur,2562.6099999999997,1403,202,12.686188118811879,2010-02-18 18:33:00,2010-12-09 14:09:00,293,Medium,0,Active,0,Active,Healthy,High
,jam making set with jars,2557.18,594,79,32.369367088607596,2010-11-28 12:38:00,2010-12-09 16:26:00,11,Short,0,Active,0,Active,At Risk,High
,blue spots  wrap,2555.0,6350,196,13.035714285714286,2009-12-01 13:41:00,2010-11-10 09:52:00,343,Medium,29,Active,0,Active,Healthy,High
,tea time tea set in gift box,2550.98,354,131,19.473129770992365,2009-12-02 12:06:00,2010-12-09 16:10:00,372,Medium,0,Active,0,Active,Healthy,High
,black wine glass,2537.99,2011,74,34.29716216216216,2009-12-01 14:28:00,2010-12-08 12:01:00,371,Medium,1,Active,0,Active,At Risk,High
84968A,s/16 vintage rose cutlery,2536.73,191,86,29.496860465116278,2009-12-03 14:39:00,2010-08-04 14:41:00,244,Medium,127,Inactive,1,Churned,Churned,High
,blue retro bar stool,2535.1,74,31,81.77741935483871,2010-01-17 12:40:00,2010-09-22 15:11:00,248,Medium,78,Inactive,1,Churned,Churned,High
,toilet metal sign,2531.96,4580,521,4.859808061420345,2009-12-01 16:34:00,2010-12-09 16:52:00,373,Medium,0,Active,0,Active,Healthy,High
,"popcorn holder , small",2531.64,3189,112,22.603928571428572,2009-12-01 11:45:00,2010-06-16 09:48:00,196,Medium,176,Inactive,1,Churned,Churned,High
,doormat welcome sunrise,2527.78,389,100,25.277800000000003,2010-06-28 13:53:00,2010-12-06 11:26:00,160,Medium,3,Active,0,Active,At Risk,High
,butterflies  honeycomb garland,2527.0,1539,145,17.427586206896553,2009-12-03 10:26:00,2010-08-17 15:49:00,257,Medium,114,Inactive,1,Churned,Churned,High
,cat bowl,2521.2400000000002,946,121,20.836694214876037,2009-12-01 07:46:00,2010-06-23 13:19:00,204,Medium,169,Inactive,1,Churned,Churned,High
,pink owl soft toy,2518.9900000000002,872,202,12.470247524752477,2009-12-02 11:55:00,2010-12-09 13:03:00,372,Medium,0,Active,0,Active,Healthy,High
,cupcake lace paper set 6,2517.67,1379,97,25.955360824742268,2010-09-20 14:38:00,2010-12-09 13:59:00,79,Short,0,Active,0,Active,At Risk,High
,cake stand victorian filigree large,2516.85,345,118,21.32923728813559,2009-12-02 10:00:00,2010-12-09 14:09:00,372,Medium,0,Active,0,Active,Healthy,High
,set/20 red retrospot paper napkins,2515.3199999999997,2911,236,10.658135593220338,2010-09-23 19:32:00,2010-12-09 14:25:00,76,Short,0,Active,0,Active,Healthy,High
,green gingham flower jewellery box,2511.3599999999997,1483,278,9.0336690647482,2009-12-01 11:51:00,2010-11-16 13:04:00,350,Medium,23,Active,0,Active,Healthy,High
,christmas retrospot angel wood,2510.0099999999998,2943,238,10.54626050420168,2010-07-18 11:31:00,2010-12-09 14:09:00,144,Medium,0,Active,0,Active,Healthy,High
,poppy's playhouse bathroom,2507.17,1127,192,13.058177083333334,2010-09-24 16:50:00,2010-12-09 20:01:00,76,Short,0,Active,0,Active,Healthy,High
,hanging medina lantern large,2506.89,740,80,31.336125,2009-12-02 09:50:00,2010-07-23 08:24:00,232,Medium,139,Inactive,1,Churned,Churned,High
,"spring dec , hanging chick cream",2499.58,1900,142,17.602676056338026,2009-12-03 16:21:00,2010-11-12 17:00:00,344,Medium,27,Active,0,Active,Healthy,High
,watermelon bath sponge,2498.43,1879,207,12.069710144927535,2009-12-01 12:13:00,2010-12-07 15:31:00,371,Medium,2,Active,0,Active,Healthy,High
,triple photo frame cornice,2494.21,248,86,29.002441860465115,2010-10-10 12:45:00,2010-12-09 14:09:00,60,Short,0,Active,0,Active,At Risk,High
,set/4 pink orchid candles in bowl,2489.87,1853,92,27.063804347826085,2009-12-01 12:18:00,2010-07-15 15:08:00,226,Medium,147,Inactive,1,Churned,Churned,High
,charlotte bag dolly girl design,2488.4,3093,228,10.914035087719299,2010-07-19 12:22:00,2010-12-09 14:09:00,143,Medium,0,Active,0,Active,Healthy,High
,blue/cream stripe fringe hammock,2486.6600000000003,315,123,20.216747967479677,2009-12-02 13:20:00,2010-10-18 12:43:00,319,Medium,52,At Risk,0,Active,At Risk,High
16161P,wrap english rose,2465.48,6022,193,12.774507772020726,2009-12-01 09:28:00,2010-12-02 18:08:00,366,Medium,7,Active,0,Active,Healthy,High
84912A,pink rose washbag,2462.63,943,161,15.295838509316772,2009-12-03 13:42:00,2010-12-09 17:27:00,371,Medium,0,Active,0,Active,Healthy,High
18097C,white tall porcelain t-light holder,2458.82,1116,149,16.502147651006712,2009-12-01 09:57:00,2010-12-08 15:58:00,372,Medium,1,Active,0,Active,Healthy,High
,set/2 red retrospot tea towels,2454.35,821,132,18.593560606060606,2010-09-26 11:05:00,2010-12-09 16:35:00,74,Short,0,Active,0,Active,Healthy,High
85206B,pink felt easter egg basket,2454.2,1524,179,13.710614525139663,2009-12-14 14:02:00,2010-04-08 16:45:00,115,Medium,245,Inactive,1,Churned,Churned,High
,woodland animal  writing set,2454.0699999999997,1452,201,12.209303482587064,2009-12-01 14:28:00,2010-11-07 15:58:00,341,Medium,32,At Risk,0,Active,At Risk,High
85206A,cream felt easter egg basket,2453.58,1377,205,11.968682926829269,2009-12-01 10:36:00,2010-12-05 12:01:00,369,Medium,4,Active,0,Active,Healthy,High
,set of 2 tea towels apple and pears,2452.92,828,139,17.646906474820145,2010-09-24 16:50:00,2010-12-09 12:17:00,75,Short,0,Active,0,Active,Healthy,High
,lunch bag pink polkadot,2448.69,1469,211,11.605165876777251,2010-09-23 13:38:00,2010-12-09 14:09:00,77,Short,0,Active,0,Active,Healthy,High
,hen house decoration,2443.83,1551,171,14.29140350877193,2009-12-03 10:20:00,2010-12-06 10:08:00,367,Medium,3,Active,0,Active,Healthy,High
,white tissue ream,2440.65,307,197,12.389086294416245,2009-12-01 12:55:00,2010-12-09 16:57:00,373,Medium,0,Active,0,Active,Healthy,High
,alarm clock bakelike chocolate,2440.35,600,139,17.556474820143883,2010-09-24 13:04:00,2010-12-09 13:38:00,76,Short,0,Active,0,Active,Healthy,High
,choc truffle gold trinket pot,2436.92,1479,186,13.101720430107527,2009-12-02 14:43:00,2010-12-08 10:40:00,370,Medium,1,Active,0,Active,Healthy,High
,doormat christmas village,2430.45,305,97,25.056185567010306,2010-06-28 13:53:00,2010-11-24 09:54:00,148,Medium,15,Active,0,Active,At Risk,High
,polka dot raffia food cover,2426.69,883,124,19.57008064516129,2009-12-01 14:35:00,2010-12-09 12:17:00,372,Medium,0,Active,0,Active,Healthy,High
,embossed heart 3 drawer shelf,2420.69,175,105,23.054190476190477,2009-12-04 13:01:00,2010-11-05 11:58:00,335,Medium,34,At Risk,0,Active,At Risk,High
,pack of 6 sandcastle flags assorted,2419.34,3068,182,13.293076923076924,2010-03-25 14:12:00,2010-12-06 10:08:00,255,Medium,3,Active,0,Active,Healthy,High
,tea cosy red  stripe,2418.63,972,153,15.808039215686275,2009-12-02 13:06:00,2010-12-09 16:26:00,372,Medium,0,Active,0,Active,Healthy,High
,dinosaur party bag + sticker set,2418.0499999999997,1541,166,14.566566265060239,2009-12-03 15:15:00,2010-12-05 13:21:00,366,Medium,4,Active,0,Active,Healthy,High
,12 pencils tall tube skulls,2417.5299999999997,2764,331,7.303716012084592,2009-12-01 11:37:00,2010-12-09 13:47:00,373,Medium,0,Active,0,Active,Healthy,High
,birds mobile vintage design,2415.6,412,108,22.366666666666667,2009-12-01 10:46:00,2010-12-02 12:28:00,366,Medium,7,Active,0,Active,At Risk,High
,balloons  writing set,2405.9,1186,320,7.5184375,2009-12-01 14:28:00,2010-12-08 14:25:00,371,Medium,1,Active,0,Active,Healthy,High
,sweetheart carry-all basket,2405.32,279,137,17.557080291970806,2010-05-02 15:48:00,2010-12-08 14:25:00,219,Medium,1,Active,0,Active,Healthy,High
,cast iron hook garden trowel,2401.99,1008,155,15.496709677419354,2010-03-04 11:44:00,2010-12-09 14:09:00,280,Medium,0,Active,0,Active,Healthy,High
,red flower crochet food cover,2400.4,633,167,14.37365269461078,2009-12-01 13:29:00,2010-12-09 11:28:00,372,Medium,0,Active,0,Active,Healthy,High
,christmas retrospot tree wood,2398.48,2836,235,10.206297872340425,2010-07-16 15:26:00,2010-12-09 14:09:00,145,Medium,0,Active,0,Active,Healthy,High
72802B,ocean scent candle in jewelled box,2397.21,561,138,17.37108695652174,2009-12-01 11:51:00,2010-12-09 12:49:00,373,Medium,0,Active,0,Active,Healthy,High
,photo frame 3 classic hanging,2396.19,237,91,26.33175824175824,2010-10-10 11:32:00,2010-12-09 14:55:00,60,Short,0,Active,0,Active,At Risk,High
,cast iron hook garden fork,2394.02,1015,157,15.248535031847133,2010-03-04 11:44:00,2010-12-09 14:09:00,280,Medium,0,Active,0,Active,Healthy,High
,white bamboo ribs lampshade,2390.99,2745,91,26.274615384615384,2009-12-06 13:40:00,2010-12-09 14:55:00,368,Medium,0,Active,0,Active,At Risk,High
,12 ivory rose peg place settings,2390.79,1827,193,12.387512953367876,2009-12-03 16:54:00,2010-12-06 13:59:00,367,Medium,3,Active,0,Active,Healthy,High
,union jack flag luggage tag,2388.7599999999998,1462,271,8.81461254612546,2009-12-01 11:51:00,2010-12-09 13:34:00,373,Medium,0,Active,0,Active,Healthy,High
,retro spot sugar jam bowl,2382.2400000000002,921,196,12.154285714285715,2009-12-01 11:50:00,2010-06-14 14:06:00,195,Medium,178,Inactive,1,Churned,Churned,High
,sandalwood fan,2381.39,3027,164,14.520670731707316,2009-12-03 12:02:00,2010-12-07 15:28:00,369,Medium,2,Active,0,Active,Healthy,High
,12 pencils tall tube woodland,2377.77,2799,276,8.615108695652173,2009-12-01 12:47:00,2010-12-09 15:23:00,373,Medium,0,Active,0,Active,Healthy,High
,salle de bain hook,2376.08,1828,246,9.658861788617886,2009-12-01 16:34:00,2010-12-09 18:58:00,373,Medium,0,Active,0,Active,Healthy,High
,english rose table cloth,2373.01,220,78,30.42320512820513,2009-12-02 14:06:00,2010-04-26 14:22:00,145,Medium,227,Inactive,1,Churned,Churned,High
,love heart pocket warmer,2365.64,1774,182,12.998021978021978,2009-12-01 12:13:00,2010-12-09 16:31:00,373,Medium,0,Active,0,Active,Healthy,High
,red retrospot shopper bag,2362.62,1654,132,17.898636363636363,2010-09-23 20:07:00,2010-12-09 13:57:00,76,Short,0,Active,0,Active,Healthy,High
,christmas star wish list chalkboard,2360.7799999999997,2855,176,13.413522727272726,2010-07-16 15:26:00,2010-11-15 13:39:00,121,Medium,24,Active,0,Active,Healthy,High
,easter tree yellow birds,2356.42,380,86,27.400232558139535,2009-12-01 12:32:00,2010-11-22 12:36:00,356,Medium,17,Active,0,Active,At Risk,High
,cardholder gingham christmas tree,2354.94,938,123,19.145853658536584,2010-07-16 15:26:00,2010-12-08 16:34:00,145,Medium,1,Active,0,Active,Healthy,High
,24 hanging easter eggs floral tub,2350.92,677,109,21.568073394495414,2009-12-08 18:18:00,2010-03-28 15:16:00,109,Medium,256,Inactive,1,Churned,Churned,High
46000M,polyester filler pad 45x45cm,2349.8,2524,227,10.351541850220265,2009-12-01 14:59:00,2010-12-07 15:54:00,371,Medium,2,Active,0,Active,Healthy,High
85132C,charlie and lola figures tins,2340.1,550,99,23.637373737373736,2009-12-01 09:24:00,2010-12-09 14:09:00,373,Medium,0,Active,0,Active,At Risk,High
,enamel wash bowl cream,2340.03,630,175,13.3716,2010-04-08 10:57:00,2010-12-05 16:41:00,241,Medium,4,Active,0,Active,Healthy,High
,t-light glass fluted antique,2337.83,1891,113,20.688761061946902,2010-10-22 11:41:00,2010-12-09 14:28:00,48,Short,0,Active,0,Active,Healthy,High
84509F,set of 4 new england placemats,2336.1,2749,36,64.89166666666667,2010-02-18 12:50:00,2010-11-10 10:50:00,264,Medium,29,Active,0,Active,At Risk,High
,skull design tv dinner tray,2334.81,465,125,18.67848,2010-03-05 14:30:00,2010-12-09 16:27:00,279,Medium,0,Active,0,Active,Healthy,High
ADJUST,adjustment by john on 26/01/2010 16,2334.43,20,20,116.72149999999999,2010-01-26 16:20:00,2010-01-26 16:57:00,0,Short,317,Inactive,1,Churned,Churned,High
,button box,2334.24,1200,143,16.323356643356643,2010-07-19 10:31:00,2010-12-09 14:44:00,143,Medium,0,Active,0,Active,Healthy,High
,garland with hearts and bells,2330.7,440,112,20.80982142857143,2009-12-01 12:14:00,2010-12-09 16:53:00,373,Medium,0,Active,0,Active,Healthy,High
,office mug warmer choc+blue,2326.76,592,132,17.6269696969697,2009-12-02 14:36:00,2010-12-09 14:09:00,371,Medium,0,Active,0,Active,Healthy,High
,cake plate lovebird white,2325.19,441,186,12.501021505376345,2009-12-01 11:45:00,2010-12-05 12:42:00,369,Medium,4,Active,0,Active,Healthy,High
,ribbon reel making snowmen,2321.38,1336,205,11.323804878048781,2010-09-19 13:01:00,2010-12-09 14:49:00,81,Short,0,Active,0,Active,Healthy,High
,make your own monsoon card kit,2307.9,690,142,16.25281690140845,2010-08-10 17:02:00,2010-12-09 14:09:00,120,Medium,0,Active,0,Active,Healthy,High
,pencil case life is beautiful,2303.46,742,148,15.563918918918919,2010-03-17 15:24:00,2010-12-09 16:57:00,267,Medium,0,Active,0,Active,Healthy,High
84279B,cherry blossom decorative flask,2302.2200000000003,616,146,15.768630136986303,2009-12-01 14:28:00,2010-06-30 12:47:00,210,Medium,162,Inactive,1,Churned,Churned,High
,mushroom blue hot water bottle,2296.76,740,184,12.482391304347827,2009-12-01 10:59:00,2010-10-17 16:17:00,320,Medium,53,At Risk,0,Active,At Risk,High
,5 hook hanger red magic toadstool,2288.97,1481,89,25.718764044943818,2010-09-17 11:33:00,2010-12-09 14:27:00,83,Short,0,Active,0,Active,At Risk,High
,emergency first aid tin,2283.71,1771,237,9.63590717299578,2010-01-29 13:53:00,2010-12-09 14:55:00,314,Medium,0,Active,0,Active,Healthy,High
85049D,bright blues ribbons,2280.47,1825,298,7.652583892617449,2009-12-01 11:58:00,2010-12-07 14:58:00,371,Medium,2,Active,0,Active,Healthy,High
,red spotty purse,2278.17,736,156,14.603653846153847,2009-12-01 12:47:00,2010-11-07 15:57:00,341,Medium,32,At Risk,0,Active,At Risk,High
85049C,romantic pinks ribbons,2278.11,1803,284,8.021514084507043,2009-12-01 11:58:00,2010-12-07 14:58:00,371,Medium,2,Active,0,Active,Healthy,High
,cherry crochet food cover,2274.36,765,154,14.768571428571429,2009-12-01 13:29:00,2010-12-08 12:35:00,371,Medium,1,Active,0,Active,Healthy,High
85014C,blue/brown dots ruffled umbrella,2270.73,547,72,31.537916666666668,2009-12-01 11:37:00,2010-06-11 15:03:00,192,Medium,181,Inactive,1,Churned,Churned,High
,savoy art deco clock,2268.95,177,98,23.15255102040816,2010-03-07 10:58:00,2010-12-07 15:28:00,275,Medium,2,Active,0,Active,At Risk,High
,tool box soft toy,2267.67,226,125,18.14136,2009-12-01 14:28:00,2010-12-08 13:11:00,371,Medium,1,Active,0,Active,Healthy,High
,french bathroom sign blue metal,2263.08,1393,157,14.414522292993631,2010-08-17 11:21:00,2010-12-07 18:36:00,112,Medium,2,Active,0,Active,Healthy,High
,make your own flowerpower card kit,2252.07,601,158,14.25360759493671,2010-08-10 12:40:00,2010-12-09 20:01:00,121,Medium,0,Active,0,Active,Healthy,High
,rose des padded floor cushion,2249.41,664,44,51.12295454545454,2009-12-04 12:59:00,2010-03-24 10:30:00,109,Medium,260,Inactive,1,Churned,Churned,High
,no junk mail metal sign,2245.44,2372,245,9.165061224489795,2009-12-01 11:21:00,2010-12-09 16:31:00,373,Medium,0,Active,0,Active,Healthy,High
,multicolour spring flower mug,2231.22,11130,75,29.749599999999997,2009-12-01 14:44:00,2010-12-09 16:31:00,373,Medium,0,Active,0,Active,At Risk,High
,blue tea towel classic design,2231.07,1887,171,13.047192982456142,2010-03-05 11:16:00,2010-12-09 13:34:00,279,Medium,0,Active,0,Active,Healthy,High
,alphabet stencil craft,2230.38,1926,167,13.35556886227545,2010-03-24 13:15:00,2010-12-09 14:19:00,260,Medium,0,Active,0,Active,Healthy,High
,hanging ridge glass t-light holder,2216.66,1360,87,25.47885057471264,2009-12-02 14:09:00,2010-07-05 10:07:00,214,Medium,157,Inactive,1,Churned,Churned,High
,giant medina stamped metal bowl,2214.91,231,77,28.765064935064935,2009-12-02 12:43:00,2010-11-30 13:41:00,363,Medium,9,Active,0,Active,At Risk,High
,assorted creepy crawlies,2213.39,5354,171,12.943801169590643,2009-12-04 16:45:00,2010-12-09 15:20:00,369,Medium,0,Active,0,Active,Healthy,High
,bag 125g swirly marbles,2212.58,5405,275,8.045745454545454,2009-12-02 10:52:00,2010-12-09 13:08:00,372,Medium,0,Active,0,Active,Healthy,High
,dog bowl chasing ball design,2212.22,469,104,21.271346153846153,2010-06-30 13:03:00,2010-12-08 14:25:00,161,Medium,1,Active,0,Active,At Risk,High
,star wooden christmas decoration,2204.08,2438,208,10.596538461538461,2010-07-18 11:31:00,2010-12-09 14:56:00,144,Medium,0,Active,0,Active,Healthy,High
,magnets pack of 4 swallows,2202.14,1745,193,11.410051813471503,2010-03-26 14:32:00,2010-12-09 14:19:00,257,Medium,0,Active,0,Active,Healthy,High
,"key fob , front  door",2199.32,3478,272,8.085735294117647,2009-12-01 12:36:00,2010-12-09 14:09:00,373,Medium,0,Active,0,Active,Healthy,High
,set of 36 mushroom paper doilies,2198.18,1517,181,12.1446408839779,2009-12-02 13:06:00,2010-12-06 11:26:00,368,Medium,3,Active,0,Active,Healthy,High
,tablecloth red apples design,2192.9,263,73,30.03972602739726,2010-09-24 16:50:00,2010-12-09 12:17:00,75,Short,0,Active,0,Active,Weak,High
,eight piece dinosaur set,2188.06,1702,215,10.177023255813953,2009-12-01 11:45:00,2010-12-09 14:09:00,373,Medium,0,Active,0,Active,At Risk,High
85049F,baby boom ribbons,2185.41,1755,231,9.46064935064935,2009-12-02 11:34:00,2010-12-05 14:19:00,368,Medium,4,Active,0,Active,At Risk,High
,set of 12 lily botanical t-lights,2182.19,750,148,14.744527027027027,2009-12-01 12:13:00,2010-10-27 12:55:00,330,Medium,43,At Risk,0,Active,At Risk,High
,72 cake cases vintage christmas,2178.14,4346,101,21.565742574257424,2010-09-17 15:04:00,2010-12-06 10:24:00,79,Short,3,Active,0,Active,Weak,High
,antique glass dressing table pot,2176.1600000000003,688,112,19.430000000000003,2010-10-22 13:27:00,2010-12-09 13:21:00,47,Short,0,Active,0,Active,At Risk,High
,3 tier cake tin green and cream,2170.67,137,70,31.00957142857143,2010-10-14 16:09:00,2010-12-09 16:26:00,56,Short,0,Active,0,Active,Weak,High
,set of 6 strawberry chopsticks,2169.84,1835,136,15.954705882352942,2009-12-01 13:29:00,2010-12-07 18:36:00,371,Medium,2,Active,0,Active,At Risk,High
,red tea towel classic design,2169.62,1786,203,10.687783251231526,2010-03-05 11:16:00,2010-12-09 13:21:00,279,Medium,0,Active,0,Active,At Risk,High
,"spring dec , hanging chick  yellow",2164.88,1640,109,19.861284403669725,2009-12-03 12:28:00,2010-11-17 16:48:00,349,Medium,22,Active,0,Active,At Risk,High
,"decoration, hanging heart+mirror",2161.0,2983,287,7.529616724738676,2009-12-02 12:09:00,2010-10-20 10:10:00,321,Medium,50,At Risk,0,Active,At Risk,High
,large white honeycomb paper bell,2158.7000000000003,982,119,18.140336134453783,2009-12-01 14:28:00,2010-12-09 16:53:00,373,Medium,0,Active,0,Active,At Risk,High
